"[26, 14], [34, 20], [42, 67], [30, 39], [16, 72], [50, 33]"
"[67, 79], [47, 49], [41, 40], [5, 34], [56, 50], [47, 30]"
"[61, 20], [33, 80], [48, 53], [10, 73], [40, 64], [4, 20]"
"[20, 32], [45, 25], [49, 61], [52, 42], [32, 11], [2, 24]"
"[58, 58], [18, 74], [30, 33], [51, 46], [27, 9], [48, 61]"
"[46, 76], [15, 64], [54, 18], [32, 38], [42, 25], [58, 32]"
"[43, 56], [63, 74], [3, 32], [56, 57], [42, 45], [6, 50]"
"[61, 25], [48, 79], [40, 10], [63, 27], [39, 45], [53, 79]"
"[11, 26], [32, 16], [6, 66], [37, 75], [40, 10], [12, 42]"
"[41, 60], [50, 76], [25, 38], [25, 67], [55, 20], [25, 21]"
"[3, 80], [20, 72], [46, 15], [39, 79], [49, 31], [9, 40]"
"[45, 55], [11, 69], [21, 23], [36, 35], [10, 63], [41, 22]"
"[32, 7], [60, 24], [23, 61], [23, 22], [36, 68], [57, 25]"
"[16, 61], [42, 77], [62, 80], [38, 52], [36, 20], [8, 71]"
"[23, 52], [25, 46], [42, 47], [14, 64], [48, 74], [15, 44]"
"[47, 16], [21, 18], [25, 14], [55, 76], [13, 36], [34, 11]"
"[41, 35], [29, 68], [48, 71], [49, 75], [43, 59], [21, 55]"
"[26, 25], [16, 53], [11, 37], [34, 7], [24, 40], [31, 46]"
"[63, 74], [46, 71], [9, 26], [47, 32], [66, 7], [8, 51]"
"[65, 77], [46, 66], [12, 62], [53, 17], [47, 41], [28, 40]"
"[40, 77], [26, 54], [16, 67], [36, 38], [36, 70], [38, 25]"
"[21, 40], [23, 70], [6, 71], [52, 19], [34, 30], [61, 16]"
"[66, 32], [42, 71], [68, 17], [60, 49], [34, 16], [45, 78]"
"[4, 9], [30, 57], [45, 20], [66, 30], [11, 54], [40, 52]"
"[9, 46], [65, 34], [49, 17], [1, 38], [9, 34], [54, 64]"
"[9, 40], [22, 48], [57, 68], [63, 52], [63, 57], [54, 38]"
"[40, 43], [11, 45], [3, 11], [50, 64], [23, 64], [29, 56]"
"[54, 22], [17, 37], [49, 80], [1, 15], [30, 55], [68, 9]"
"[11, 38], [55, 35], [55, 75], [60, 33], [22, 62], [58, 57]"
